Year,Longitude,Latitude
2001,-87.612582187,41.736531621
2001,-87.64531256,41.800268225
2001,-87.615649806,41.781184105
2017,-87.684890583,41.830282091
2001,-87.697008971,41.853731004
2017,-87.705602815,41.864137869
2001,-87.668872764,42.005403989
2001,-87.721207281,41.895868773
2001,-87.642713824,41.883738563
2001,-87.653199102,41.969110786
2001,-87.660921628,41.793244724
2001,-87.755186303,41.883638136
2001,-91.686565684,36.619446395
2001,-87.648682442,41.789640536
2001,-87.654843816,41.939900177
2001,-87.630393167,41.790526256
2001,-87.747286365,41.931526191
2001,-87.658120674,41.80505341
2001,-87.564628002,41.716653872
2001,-87.716759634,41.867184057
2001,-87.725537965,41.876860431
2017,-87.678492886,41.903168813
2001,-87.623239091,41.830364812
2001,-87.612189718,41.69397574
2001,-87.625232019,41.777020104
2001,-87.622762074,41.806472977
2001,-87.758279867,41.903535717
2001,-87.722041752,41.88077164
2001,-87.610547492,41.77061404
2001,-87.688045355,41.906658672
2001,-87.729015487,41.887748749
2001,-87.686329083,41.876884977
2001,-87.591055569,41.768448004
2001,-87.690780557,41.905356777
2001,-87.68649871,41.821070404
2001,-87.637448188,41.752560727
2001,-87.711204508,41.847148452
2001,-87.626513215,41.763174795
2001,-87.674437114,41.722451399
2001,-87.6269207,41.843922218
2001,-87.72547164,41.874947338
2017,-87.722906967,41.899050162
2001,-87.716794896,41.89178369
2001,-87.691883765,41.871101072
2018,-87.681718565,41.946823083
2001,-87.766240267,41.912661476
2001,-87.666815552,41.814042305
2001,-87.666815552,41.814042305
2018,-87.694643524,41.823997468
2001,-87.666815552,41.814042305
2001,-87.665116609,41.905767381
2018,-87.670795242,41.786669148
2001,-87.645670111,41.766471695
2018,-87.642744939,41.768866386
2001,-87.6227646,41.713551024
2018,-87.73438296,41.847032912
2001,-87.653074023,41.94595442
2018,-87.621622402,41.824602821
2001,-87.575527839,41.766249991
2018,-87.708702095,41.997400551
2001,-87.653074023,41.94595442
2001,-87.650548686,41.767886662
2001,-87.700181205,41.845828597
2018,-87.584505639,41.722347855
2001,-87.602827178,41.77772781
2001,-87.555571565,41.736873382
2001,-87.564816173,41.738055264
2001,-87.564816173,41.738055264
2001,-87.60781793,41.825756866
