Year,Latitude,Longitude
2001,41.752560727,-87.637448188
2001,41.847148452,-87.711204508
2001,41.763174795,-87.626513215
2001,41.722451399,-87.674437114
2001,41.843922218,-87.6269207
2001,41.874947338,-87.72547164
2017,41.899050162,-87.722906967
2001,41.89178369,-87.716794896
2001,41.871101072,-87.691883765
2018,41.946823083,-87.681718565
2001,41.912661476,-87.766240267
2001,41.814042305,-87.666815552
2001,41.814042305,-87.666815552
2018,41.823997468,-87.694643524
2001,41.814042305,-87.666815552
2001,41.905767381,-87.665116609
2018,41.786669148,-87.670795242
2001,41.766471695,-87.645670111
2018,41.768866386,-87.642744939
2001,41.713551024,-87.6227646
2018,41.847032912,-87.73438296
2001,41.94595442,-87.653074023
2018,41.824602821,-87.621622402
2001,41.766249991,-87.575527839
2018,41.997400551,-87.708702095
2001,41.94595442,-87.653074023
2001,41.767886662,-87.650548686
2001,41.845828597,-87.700181205
2018,41.722347855,-87.584505639
2001,41.77772781,-87.602827178
2001,41.736873382,-87.555571565
2001,41.738055264,-87.564816173
2001,41.738055264,-87.564816173
2001,41.825756866,-87.60781793
2001,41.75652833,-87.592570988
2001,41.697149811,-87.640103708
2018,41.924087397,-87.757753616
2001,41.876192292,-87.724259141
2001,41.864099641,-87.713723835
2001,41.828167532,-87.626495867
2001,41.803391597,-87.621061298
2001,41.699305792,-87.623298605
2001,41.699035036,-87.625674408
2001,41.699035036,-87.625674408
2018,41.997341964,-87.712065116
2018,41.982818711,-87.655164396
2001,41.727329033,-87.58792067
2001,41.805133681,-87.74186691
2001,41.945290829,-87.718356483
2001,41.89417086,-87.767924449
2001,41.76989754,-87.663955177
2018,41.765162688,-87.624896894
2001,41.858993846,-87.713450088
2001,41.777875199,-87.608332208
2001,41.750742298,-87.610066837
2001,41.677023715,-87.633452598
2001,41.773780109,-87.682475867
2001,41.933951239,-87.72703963
2001,41.773860649,-87.611874802
2001,41.743536325,-87.562460635
2001,41.919050268,-87.767396234
2001,41.802481115,-87.646396519
2001,41.815289454,-87.665140842
2019,41.699538222,-87.614775052
2001,41.940514379,-87.652903963
2001,41.917530169,-87.733907925
2001,41.830861941,-87.69483214
2001,41.747658269,-87.60235098
2001,36.619446395,-91.686565684
2001,41.786449016,-87.610178987
2001,41.733119372,-87.549945455
2001,41.774287841,-87.711212569
2001,41.855785481,-87.727271903
2001,41.892175985,-87.682457932
2001,41.885691894,-87.751051007
2001,41.733289529,-87.549947051
2001,41.74581552,-87.60343823
2001,41.808187211,-87.633336248
2001,41.884494512,-87.741748804
2001,41.746655581,-87.602622531
2001,41.864396964,-87.721063356
2001,41.804449678,-87.694096813
2001,41.903726336,-87.64250581
2001,41.727987234,-87.631427034
2001,41.884680488,-87.754005423
2001,41.850571654,-87.714966537
2001,36.619446395,-91.686565684
2001,41.704164704,-87.637897044
2001,41.775228887,-87.662873236
2001,41.806911162,-87.624393117
2001,41.853040781,-87.679654139
2001,41.808036345,-87.711069556
2001,41.931535128,-87.678838606
2001,41.668224148,-87.624745566
2001,41.748914562,-87.602688529
2001,41.913977641,-87.68904078
2001,41.736011757,-87.64781608
2001,41.872993338,-87.732756426
2001,41.805069493,-87.624351068
2001,41.779653172,-87.651300139
2001,42.005072012,-87.660873808
2001,41.777309867,-87.640802922
2001,41.893110785,-87.751828382
2001,41.884914908,-87.746665905
2001,41.71274767,-87.569410209
2001,41.677126917,-87.62165727
2001,41.749060661,-87.702375282
2001,41.881921637,-87.736154071
2001,41.751194021,-87.546830594
2001,41.968249306,-87.727203575
2001,41.968249306,-87.727203575
2001,41.880758708,-87.697423905
2001,41.760069167,-87.570036745
2001,41.796878199,-87.648847457
2001,41.761782474,-87.564815341
2001,41.870862182,-87.65834276
2001,41.809211649,-87.696683126
2001,41.809211649,-87.696683126
2001,41.695768098,-87.612239266
2001,41.833393992,-87.646168819
2001,41.811315901,-87.669903061
2001,41.687120159,-87.664802953
2001,41.788613959,-87.661193702
2001,36.619446395,-91.686565684
2001,41.80159966,-87.644473107
2001,41.894298063,-87.664446501
2001,41.879777902,-87.698711511
2001,41.827276641,-87.632930203
2001,41.917724083,-87.729019356
2001,41.883191631,-87.706183852
2001,41.802114141,-87.668446581
2001,41.773465209,-87.574768371
2001,41.713389632,-87.550620923
2001,41.751230848,-87.608335265
2001,41.851769981,-87.673379563
2001,41.87328131,-87.71974488
2001,41.689771618,-87.643514659
2001,41.689771618,-87.643514659
2001,41.850795633,-87.713753142
2001,41.784846688,-87.670751672
2001,41.803951605,-87.645405194
2001,36.619446395,-91.686565684
2001,41.820698543,-87.694588259
2001,41.901650581,-87.729964379
2001,41.921021778,-87.687522193
2001,41.847405932,-87.713653722
2001,41.879060948,-87.728065506
2001,41.808888051,-87.689339281
2001,41.881890949,-87.721461893
2001,41.760015287,-87.593260266
2001,41.749918509,-87.624518496
2001,41.888985375,-87.714904706
2001,41.855919856,-87.669666193
2001,41.882809858,-87.771876815
2001,36.619446395,-91.686565684
2001,41.814197454,-87.626212961
2001,41.682152716,-87.624025349
2001,42.020537666,-87.666422486
2001,41.827040655,-87.624879203
2001,41.734316563,-87.642906333
2001,41.939227399,-87.716551275
2001,41.895369652,-87.772310424
2001,41.90535268,-87.692011234
2001,41.736839959,-87.558341882
